2.475096	 0.479904	 5.229176	 0.334641
2.474363	 0.483788	 5.228998	 0.337380
2.473623	 0.487671	 5.228820	 0.340119
2.472877	 0.491553	 5.228639	 0.342858
2.472126	 0.495434	 5.228458	 0.345597
2.471369	 0.499313	 5.228275	 0.348336
2.470606	 0.503191	 5.228090	 0.351075
2.469836	 0.507068	 5.227904	 0.353814
2.469062	 0.510944	 5.227716	 0.356552
2.468281	 0.514819	 5.227528	 0.359290
2.467494	 0.518692	 5.227337	 0.362029
2.466701	 0.522564	 5.227145	 0.364767
2.465903	 0.526434	 5.226952	 0.367505
2.465099	 0.530304	 5.226758	 0.370243
2.464289	 0.534172	 5.226561	 0.372981
2.463473	 0.538038	 5.226364	 0.375719
2.462651	 0.541904	 5.226165	 0.378457
2.461823	 0.545768	 5.225965	 0.381194
2.460989	 0.549630	 5.225763	 0.383932
2.460150	 0.553491	 5.225559	 0.386669
2.459305	 0.557351	 5.225355	 0.389407
2.458453	 0.561210	 5.225149	 0.392144
2.457596	 0.565067	 5.224941	 0.394881
2.456734	 0.568922	 5.224732	 0.397618
2.455865	 0.572777	 5.224521	 0.400355
2.454990	 0.576630	 5.224309	 0.403091
2.454110	 0.580481	 5.224096	 0.405828
2.453224	 0.584331	 5.223881	 0.408565
2.452332	 0.588179	 5.223665	 0.411301
2.451434	 0.592027	 5.223447	 0.414037
2.450530	 0.595872	 5.223228	 0.416774
2.449621	 0.599716	 5.223008	 0.419510
2.448705	 0.603559	 5.222786	 0.422246
2.447784	 0.607400	 5.222562	 0.424982
2.446857	 0.611240	 5.222337	 0.427717
2.445924	 0.615078	 5.222111	 0.430453
2.444986	 0.618914	 5.221883	 0.433188
2.444041	 0.622749	 5.221654	 0.435924
2.443091	 0.626583	 5.221423	 0.438659
2.442135	 0.630415	 5.221191	 0.441394
2.441173	 0.634245	 5.220958	 0.444129
2.440206	 0.638074	 5.220723	 0.446864
2.439232	 0.641901	 5.220487	 0.449599
2.438253	 0.645727	 5.220249	 0.452334
2.437268	 0.649551	 5.220009	 0.455068
2.436277	 0.653373	 5.219769	 0.457803
2.435280	 0.657194	 5.219527	 0.460537
2.434278	 0.661013	 5.219283	 0.463271
2.433270	 0.664831	 5.219038	 0.466005
2.432256	 0.668646	 5.218792	 0.468739
2.431236	 0.672461	 5.218544	 0.471473
2.430210	 0.676273	 5.218294	 0.474207
2.429179	 0.680084	 5.218044	 0.476940
2.428142	 0.683893	 5.217792	 0.479673
2.427099	 0.687701	 5.217538	 0.482407
2.426050	 0.691506	 5.217283	 0.485140
2.424996	 0.695310	 5.217026	 0.487873
2.423936	 0.699113	 5.216768	 0.490606
2.422870	 0.702913	 5.216509	 0.493338
2.421798	 0.706712	 5.216248	 0.496071
2.420721	 0.710509	 5.215986	 0.498804
2.419637	 0.714305	 5.215722	 0.501536
2.418548	 0.718098	 5.215457	 0.504268
2.417454	 0.721890	 5.215191	 0.507000
2.416353	 0.725680	 5.214923	 0.509732
2.415247	 0.729468	 5.214653	 0.512464
2.414135	 0.733254	 5.214382	 0.515195
2.413018	 0.737039	 5.214110	 0.517927
2.411894	 0.740822	 5.213836	 0.520658
2.410765	 0.744603	 5.213561	 0.523389
2.409630	 0.748382	 5.213285	 0.526121
